Year,Month,Day,DOY,Hour,militaryTime,Shade,Transect,Stick,Distance to stick one,Height,HeightRounded,TempAtPoint,MeanTemp,MaxTemp,MinTemp,SDTemp,SETemp
2024,7,10,192,12:00 PM,12,0,3,4,27,44,40,41.5,42.72727273,49.4,40.2,3.37226657,1.016776628
2024,8,2,215,12:00 PM,12,0,1,2,2,46,50,45.3,48.34545455,58.5,44,5.222521161,1.574649377
2024,7,10,192,12:00 PM,12,0.5,2,4,27,46,50,41.6,43.16363636,53.1,40.2,4.037393399,1.217319912
2024,8,2,215,12:00 PM,12,1,5,3,7,49,50,50.1,51.84545455,59.1,48.7,3.537333356,1.066546136
2024,8,18,231,12:00 PM,12,0,5,2,2,49,50,45,46.79090909,56,44.4,3.45614078,1.042065654
2024,6,9,161,12:00 PM,12,0.5,4,3,7,50,50,26.7,28.38181818,35.9,22.1,5.316543648,1.602998224
2024,8,2,215,12:00 PM,12,0.5,2,4,27,50,50,53,55.25454545,69.5,50.4,5.854974575,1.765341257
2024,7,21,203,12:00 PM,12,0,1,3,7,51,50,37,37.98181818,42.6,35.5,2.854756796,0.86074156
2024,8,2,215,12:00 PM,12,0,4,2,2,51,50,52.3,53.00909091,60.4,47,4.528234655,1.365314119
2024,8,2,215,12:00 PM,12,1,5,3,7,51,50,50.1,51.84545455,59.1,48.7,3.537333356,1.066546136
2024,8,2,215,12:00 PM,12,0,3,4,27,60,60,53.5,54.73636364,60.6,52.3,2.620790998,0.790198218
2024,8,2,215,12:00 PM,12,0.5,2,4,27,60,60,51.8,55.25454545,69.5,50.4,5.854974575,1.765341257
2024,7,10,192,12:00 PM,12,0,1,3,7,61,60,41.7,49.54545455,56,41.7,3.859627867,1.163721588
2024,7,10,192,12:00 PM,12,0.5,2,4,27,61,60,41,43.16363636,53.1,40.2,4.037393399,1.217319912
2024,8,2,215,12:00 PM,12,0,3,4,27,64,60,53.5,54.73636364,60.6,52.3,2.620790998,0.790198218
2024,8,2,215,12:00 PM,12,0,5,2,2,65,70,48.8,53.26363636,74.2,47.7,7.966965888,2.402130597
2024,8,2,215,12:00 PM,12,0.5,2,3,7,67,70,42.8,45.25454545,59.3,42,5.017641605,1.512875867
2024,7,10,192,12:00 PM,12,1,5,4,27,69,70,33.1,31.26363636,33.3,25.6,2.323907368,0.700684435
2024,8,2,215,12:00 PM,12,0.5,2,4,27,70,70,51.1,55.25454545,69.5,50.4,5.854974575,1.765341257
2024,8,2,215,12:00 PM,12,0.5,2,4,27,80,80,51.2,55.25454545,69.5,50.4,5.854974575,1.765341257
2024,7,10,192,12:00 PM,12,0,1,4,27,96,100,42.4,45.5,54.8,42.4,3.739518686,1.127507307
2024,7,10,192,12:00 PM,12,0.5,2,4,27,96,100,40.5,43.16363636,53.1,40.2,4.037393399,1.217319912
2024,8,2,215,12:00 PM,12,0,5,2,2,99,100,47.7,53.26363636,74.2,47.7,7.966965888,2.402130597
2024,6,30,182,4:00 PM,16,0,1,4,27,19,20,41.5,42.71818182,45.1,39.9,1.518432206,0.457824536
2024,7,21,203,4:00 PM,16,0.5,4,4,27,20,20,46.4,47.07272727,49.5,46,1.199242185,0.361585124
2024,7,21,203,4:00 PM,16,0,5,2,2,20,20,30.5,32.45454545,33.5,29.7,1.258064892,0.379320837
2024,7,21,203,4:00 PM,16,0,1,2,2,22,20,33.8,35.02727273,38,33.8,1.15593331,0.348527007
2024,6,30,182,4:00 PM,16,0.5,2,4,27,24,20,41.5,41.68181818,44.1,38.6,1.966122164,0.592808137
2024,7,21,203,4:00 PM,16,0.5,3,1,0,24,20,37.7,38.08181818,43.6,36.3,2.477021672,0.746850135
2024,6,23,175,4:00 PM,16,0,1,3,7,39,40,45.3,44.64545455,50.4,39.7,2.50613792,0.755629014
2024,8,2,215,4:00 PM,16,0,1,2,2,39,40,44.4,44.68181818,47.4,42.8,1.134740659,0.342137182
2024,7,11,193,4:00 PM,16,0.5,2,4,27,43,40,55.2,55.10909091,57.5,51,2.213347937,0.667349513
2024,7,21,203,4:00 PM,16,0,3,4,27,48,50,48.1,49.33636364,54.4,47,2.531905499,0.763398231
2024,7,11,193,4:00 PM,16,0,1,4,27,52,50,58.8,59.58181818,62.9,57.2,2.006398855,0.604952016
2024,6,16,168,4:00 PM,16,0,3,3,7,63,60,20.1,19.64545455,20.5,18,0.738056416,0.222532382
2024,7,11,193,4:00 PM,16,0.5,2,4,27,73,70,56.6,55.10909091,57.5,51,2.213347937,0.667349513
2024,8,2,215,4:00 PM,16,0,1,2,2,78,80,44.5,44.68181818,47.4,42.8,1.134740659,0.342137182
2024,8,2,215,4:00 PM,16,0,3,4,27,90,90,55.8,57.95454545,63.2,53.9,2.669967654,0.805025537
2024,7,11,193,4:00 PM,16,0,1,4,27,90,90,57.8,59.58181818,62.9,57.2,2.006398855,0.604952016
2024,8,2,215,4:00 PM,16,0,3,2,2,96,100,47.3,53.14545455,66.3,47.1,6.17840815,1.862860149
2024,8,2,215,4:00 PM,16,0.5,4,4,27,97,100,56.7,58.75454545,65,55.5,3.065408174,0.92425534
2024,8,2,215,4:00 PM,16,1,5,4,27,98,100,55,56.48181818,64.5,53.5,3.154938409,0.951249722
2024,8,2,215,4:00 PM,16,0,1,4,27,98,100,56.3,58.6,63.8,55.8,2.905167809,0.875941052
2024,8,2,215,4:00 PM,16,0,1,4,27,99,100,56.3,58.6,63.8,55.8,2.905167809,0.875941052
2024,8,2,215,4:00 PM,16,0.5,2,2,2,99,100,39.3,39.08181818,40.6,35.9,1.368077616,0.412490922
2024,6,23,175,4:00 PM,16,0,1,2,2,100,100,45.2,48.91818182,52.7,45.2,2.338297749,0.705023298
2024,7,21,203,8:00 PM,20,0.5,2,2,2,18,20,22.9,23.91818182,25.3,21.6,1.406995509,0.424225108
2024,7,21,203,8:00 PM,20,0,3,4,27,43,40,26.5,27.06363636,27.6,26,0.64695089,0.195063033
2024,6,23,175,8:00 PM,20,0,3,2,2,81,80,27.9,26.84545455,28.4,25.9,0.982205311,0.296146044
2024,7,21,203,8:00 PM,20,0.5,2,4,27,91,90,27.2,26.50909091,27.5,25.3,0.795555838,0.23986911
2024,7,21,203,8:00 PM,20,0.5,2,4,27,100,100,27.5,26.50909091,27.5,25.3,0.795555838,0.23986911
