order,Year,Month,Day,Date,DOY,TOD,Time,Shade,Transect,Stick,Distance to stick one,Height,Temperature,,,,,
89,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,0,13.1,,,,,
90,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,10,12.7,,,,,
91,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,20,12.8,,,,,
92,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,30,12.8,,,,,
93,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,40,12.1,,,,,
94,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,50,11.6,,,,,
95,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,60,12,,,,,
96,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,70,12,,,,,
97,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,80,12.5,,,,,
98,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,90,12.1,,,,,
99,2024,6,9,6/9/2024,161,1,8:00 AM,0,3,3,7,100,12.8,,,,,
100,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,0,16.5,,,,,
101,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,10,16.2,,,,,
102,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,20,17,,,,,
103,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,30,17.4,,,,,
104,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,40,20,,,,,
105,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,50,19.9,,,,,
106,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,60,20.8,,,,,
107,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,70,19,,,,,
108,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,80,18.4,,,,,
109,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,90,19,,,,,
110,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,1,0,100,18.4,,,,,
111,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,0,17.9,,,,,
112,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,10,21,,,,,
113,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,20,22.8,,,,,
114,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,30,19.5,,,,,
115,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,40,22.6,,,,,
116,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,50,21.3,,,,,
117,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,60,20.5,,,,,
118,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,70,20.5,,,,,
119,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,80,19.9,,,,,
120,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,90,19.9,,,,,
121,2024,6,9,6/9/2024,161,1,8:00 AM,0,4,2,2,100,19,,,,,
133,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,0,18.1,,,,,
134,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,10,19.3,,,,,
135,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,20,17.7,,,,,
136,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,30,18.4,,,,,
137,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,40,18.4,,,,,
138,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,50,18.1,,,,,
139,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,60,17.9,,,,,
140,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,70,17.9,,,,,
141,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,80,18,,,,,
142,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,90,17.2,,,,,
143,2024,6,9,6/9/2024,161,1,8:00 AM,0.5,5,1,0,100,17,,,,,
144,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,0,21,,,,,
145,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,10,21.6,,,,,
146,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,20,21.7,,,,,
147,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,30,21.4,,,,,
148,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,40,20,,,,,
149,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,50,19.2,,,,,
150,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,60,19.6,,,,,
151,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,70,20.1,,,,,
152,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,80,19.8,,,,,
153,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,90,19.6,,,,,
154,2024,6,9,6/9/2024,161,1,8:00 AM,0,5,2,2,100,19.2,,,,,
155,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,0,18.1,,,,,
156,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,10,19.4,,,,,
157,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,20,21.4,,,,,
158,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,30,21.4,,,,,
159,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,40,21.4,,,,,
160,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,50,19.8,,,,,
161,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,60,19,,,,,
162,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,70,18,,,,,
163,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,80,18.4,,,,,
164,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,90,18.3,,,,,
165,2024,6,9,6/9/2024,161,1,8:00 AM,1,5,3,7,100,16.9,,,,,
166,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,0,28,,,,,
167,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,10,28,,,,,
168,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,20,30.5,,,,,
169,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,30,28.3,,,,,
170,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,40,30,,,,,
171,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,50,26.5,,,,,
172,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,60,27.4,,,,,
173,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,70,26.5,,,,,
174,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,80,26.6,,,,,
175,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,90,26.1,,,,,
176,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,1,1,0,100,26.5,,,,,
177,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,0,44.1,,,,,
178,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,10,40,,,,,
179,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,20,33,,,,,
180,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,30,29.4,,,,,
181,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,40,27.9,,,,,
182,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,50,28.7,,,,,
183,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,60,27.8,,,,,
184,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,70,27.8,,,,,
185,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,80,26.9,,,,,
186,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,90,26.6,,,,,
187,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,2,2,100,26.8,,,,,
188,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,0,37.8,,,,,
189,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,10,40.2,,,,,
190,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,20,33,,,,,
191,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,30,28,,,,,
192,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,40,28.3,,,,,
193,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,50,26.6,,,,,
194,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,60,27.3,,,,,
195,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,70,25.6,,,,,
196,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,80,27.5,,,,,
197,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,90,27.4,,,,,
198,2024,6,9,6/9/2024,161,2,12:00 PM,0,1,3,7,100,27.4,,,,,
199,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,0,24.8,,,,,
200,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,10,25,,,,,
201,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,20,25,,,,,
202,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,30,24.1,,,,,
203,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,40,24.3,,,,,
204,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,50,25.8,,,,,
205,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,60,25.4,,,,,
206,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,70,26,,,,,
207,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,80,23.7,,,,,
208,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,90,23.6,,,,,
209,2024,6,9,6/9/2024,161,2,12:00 PM,1,2,1,0,100,23.1,,,,,
210,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,0,40.2,,,,,
211,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,10,34.6,,,,,
212,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,20,32.6,,,,,
213,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,30,35.4,,,,,
214,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,40,33.2,,,,,
215,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,50,27.9,,,,,
216,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,60,27.5,,,,,
217,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,70,26.8,,,,,
218,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,80,26.5,,,,,
219,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,90,24.1,,,,,
220,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,2,2,100,24.5,,,,,
221,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,0,25.5,,,,,
222,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,10,25,,,,,
223,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,20,26.6,,,,,
224,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,30,27.2,,,,,
225,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,40,27.5,,,,,
226,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,50,26.2,,,,,
227,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,60,25.5,,,,,
228,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,70,25.1,,,,,
229,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,80,24.9,,,,,
230,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,90,24,,,,,
231,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,2,3,7,100,23.3,,,,,
232,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,0,23.6,,,,,
233,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,10,24.8,,,,,
234,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,20,25.7,,,,,
235,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,30,23.4,,,,,
236,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,40,22.7,,,,,
237,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,50,21.9,,,,,
238,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,60,22,,,,,
239,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,70,22,,,,,
240,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,80,21.8,,,,,
241,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,90,21.9,,,,,
242,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,3,1,0,100,21.7,,,,,
243,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,0,33.5,,,,,
244,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,10,30.8,,,,,
245,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,20,28,,,,,
246,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,30,32,,,,,
247,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,40,23,,,,,
248,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,50,22.9,,,,,
249,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,60,22.3,,,,,
250,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,70,21.6,,,,,
251,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,80,21.5,,,,,
252,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,90,20.6,,,,,
253,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,2,2,100,20.8,,,,,
254,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,0,32.6,,,,,
255,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,10,30,,,,,
256,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,20,27.1,,,,,
257,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,30,26.2,,,,,
258,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,40,25,,,,,
259,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,50,22.6,,,,,
260,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,60,25.7,,,,,
261,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,70,25.8,,,,,
262,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,80,25.8,,,,,
263,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,90,26.5,,,,,
264,2024,6,9,6/9/2024,161,2,12:00 PM,0,3,3,7,100,25,,,,,
265,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,0,43.7,,,,,
266,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,10,40.4,,,,,
267,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,20,33.5,,,,,
268,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,30,27.6,,,,,
269,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,40,28.4,,,,,
270,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,50,27.5,,,,,
271,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,60,26.9,,,,,
272,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,70,27,,,,,
273,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,80,26.9,,,,,
274,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,90,26.1,,,,,
275,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,1,0,100,25.6,,,,,
276,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,0,36,,,,,
277,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,10,33.3,,,,,
278,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,20,31.9,,,,,
279,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,30,28.1,,,,,
280,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,40,25.1,,,,,
281,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,50,25.4,,,,,
282,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,60,25.1,,,,,
283,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,70,24.9,,,,,
284,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,80,24.4,,,,,
285,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,90,24.1,,,,,
286,2024,6,9,6/9/2024,161,2,12:00 PM,0,4,2,2,100,23.5,,,,,
287,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,0,34.6,,,,,
288,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,10,32.6,,,,,
289,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,20,35.9,,,,,
290,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,30,35.4,,,,,
291,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,40,28.7,,,,,
292,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,50,26.7,,,,,
293,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,60,25.5,,,,,
294,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,70,23.9,,,,,
295,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,80,23.4,,,,,
296,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,90,23.4,,,,,
297,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,4,3,7,100,22.1,,,,,
298,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,0,21.9,,,,,
299,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,10,23.7,,,,,
300,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,20,21.7,,,,,
301,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,30,20.6,,,,,
302,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,40,17.7,,,,,
303,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,50,20.3,,,,,
304,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,60,19.6,,,,,
305,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,70,18.9,,,,,
306,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,80,18.8,,,,,
307,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,90,18.1,,,,,
308,2024,6,9,6/9/2024,161,2,12:00 PM,0.5,5,1,0,100,17.6,,,,,
309,2024,6,9,6/9/2024,161,2,12:00 PM,0,5,2,2,0,27.5,,,,,
